Comment,Designator,Footprint,LCSC,Quantity
100K,"R1,R4",R_0805_2012Metric,C149504,2
100R,"R16,R8",R_0805_2012Metric,C17408,2
10K,"R2,R5",R_0805_2012Metric,C17414,2
1K,R3,R_0805_2012Metric,C17513,1
220R,"R10,R15,R17",R_0805_2012Metric,C17557,3
22R,"R12,R13",R_0805_2012Metric,C17561,2
33K,"R6,R7,R9",R_0805_2012Metric,C17633,3
4.7uF,"C10,C12,C9",C_0805_2012Metric,C1779,3
Battery_9V,J1,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,C18077881,1
PJ-320B,J4,BOOMELE_PJ-320B,C18594,1
MF-FSMF050X-2,"F1,F2",Fuse_0603_1608Metric,C210357,2
RED_LED,D1,LED_0603_1608Metric,C2286,1
100nF,"C11,C13,C14,C6",C_0805_2012Metric,C28233,4
+10uF,C1,CP_Elec_5x5.4,C30110,1
BC849,"Q1,Q5",SOT-23,C334244,2
CM108B,U1,TQFP48,C371347,1
+100uF,C4,CP_Elec_5x5.4,C4054379,1
PC817,U2,DIP-4_W7.62mm_SMDSocket_SmallPads,C41807,1
1.5K,R14,R_0805_2012Metric,C4310,1
BC859,"Q2,Q3,Q4",SOT-23,C454952,3
+470uF,C7,CP_Elec_6.3x7.7,C5456765,1
USB_B_Mini,J3,USB_Mini-B_Wuerth_65100516121_Horizontal,C720611,1
30mOhm,"FB1,FB2",L_0603_1608Metric,C85831,2
+33uF,"C2,C3,C5",CP_Elec_5x5.4,C87866,3
